銘柄名,銘柄コード,市場
データセクション,3905.T,JP
シリコンスタジオ,3907.T,JP
コラボス,3908.T,JP
ショーケース,3909.T,JP
エムケイシステム,3910.T,JP
Ａｉｍｉｎｇ,3911.T,JP
モバイルファクトリー,3912.T,JP
ＧｒｅｅｎＢｅｅ,3913.T,JP
ＪＩＧ－ＳＡＷ,3914.T,JP
テラスカイ,3915.T,JP
デジタル・インフォメーション・テクノロジー,3916.T,JP
アイリッジ,3917.T,JP
ＰＣＩホールディングス,3918.T,JP
アイビーシー,3920.T,JP
ネオジャパン,3921.T,JP
ＰＲ　ＴＩＭＥＳ,3922.T,JP
ラクス,3923.T,JP
ランドコンピュータ,3924.T,JP
ダブルスタンダード,3925.T,JP
オープンドア,3926.T,JP
フーバーブレイン,3927.T,JP
マイネット,3928.T,JP
ソーシャルワイヤー,3929.T,JP
はてな,3930.T,JP
バリューゴルフ,3931.T,JP
アカツキ,3932.T,JP
チエル,3933.T,JP
ベネフィットジャパン,3934.T,JP
エディア,3935.T,JP
グローバルウェイ,3936.T,JP
Ｕｂｉｃｏｍホールディングス,3937.T,JP
カナミックネットワーク,3939.T,JP
ノムラシステムコーポレーション,3940.T,JP
レンゴー,3941.T,JP
大石産業,3943.T,JP
古林紙工,3944.T,JP
スーパーバッグ,3945.T,JP
トーモク,3946.T,JP
ダイナパック,3947.T,JP
光ビジネスフォーム,3948.T,JP
ザ・パック,3950.T,JP
朝日印刷,3951.T,JP
大村紙業,3953.T,JP
昭和パックス,3954.T,JP
イムラ,3955.T,JP
笹徳印刷,3958.T,JP
シルバーエッグ・テクノロジー,3961.T,JP
チェンジホールディングス,3962.T,JP
シンクロ・フード,3963.T,JP
オークネット,3964.T,JP
キャピタル・アセット・プランニング,3965.T,JP
エルテス,3967.T,JP
セグエグループ,3968.T,JP
エイトレッド,3969.T,JP
イノベーション,3970.T,JP
ＳＣＡＴ,3974.T,JP
シャノン,3976.T,JP
マクロミル,3978.T,JP
うるる,3979.T,JP
ビーグリー,3981.T,JP
オロ,3983.T,JP
ユーザーローカル,3984.T,JP
テモナ,3985.T,JP
ビーブレイクシステムズ,3986.T,JP
エコモット,3987.T,JP
ＳＹＳホールディングス,3988.T,JP
シェアリングテクノロジー,3989.T,JP
ウォンテッドリー,3991.T,JP
ニーズウェル,3992.T,JP
ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,3993.T,JP
マネーフォワード,3994.T,JP
サインポスト,3996.T,JP
トレードワークス,3997.T,JP
すららネット,3998.T,JP
レゾナック・ホールディングス,4004.T,JP
住友化学,4005.T,JP
住友精化,4008.T,JP
ヘッドウォータース,4011.T,JP
アクシス,4012.T,JP
勤次郎,4013.T,JP
カラダノート,4014.T,JP
ペイクラウドホールディングス,4015.T,JP
ＭＩＴホールディングス,4016.T,JP
クリーマ,4017.T,JP
スタメン,4019.T,JP
ビートレンド,4020.T,JP
日産化学,4021.T,JP
ラサ工業,4022.T,JP
クレハ,4023.T,JP
多木化学,4025.T,JP
神島化学工業,4026.T,JP
テイカ,4027.T,JP
石原産業,4028.T,JP
片倉コープアグリ,4031.T,JP
南海化学,4040.T,JP
日本曹達,4041.T,JP
東ソー,4042.T,JP
トクヤマ,4043.T,JP
セントラル硝子,4044.T,JP
東亞合成,4045.T,JP
大阪ソーダ,4046.T,JP
関東電化工業,4047.T,JP
ＧＭＯフィナンシャルゲート,4051.T,JP
フィーチャ,4052.T,JP
Ｓｕｎ　Ａｓｔｅｒｉｓｋ,4053.T,JP
日本情報クリエイト,4054.T,JP
ティアンドエスグループ,4055.T,JP
ニューラルグループ,4056.T,JP
インターファクトリー,4057.T,JP
トヨクモ,4058.T,JP
まぐまぐ,4059.T,JP
ｒａｋｕｍｏ,4060.T,JP
デンカ,4061.T,JP
イビデン,4062.T,JP
信越化学工業,4063.T,JP
日本カーバイド工業,4064.T,JP
ベイシス,4068.T,JP
ＢｌｕｅＭｅｍｅ,4069.T,JP
プラスアルファ・コンサルティング,4071.T,JP
電算システムホールディングス,4072.T,JP
ジィ・シィ企画,4073.T,JP
ラキール,4074.T,JP
ブレインズテクノロジー,4075.T,JP
シイエヌエス,4076.T,JP
堺化学工業,4078.T,JP
田中化学研究所,4080.T,JP
第一稀元素化学工業,4082.T,JP
エア・ウォーター,4088.T,JP
日本酸素ホールディングス,4091.T,JP
日本化学工業,4092.T,JP
東邦アセチレン,4093.T,JP
日本化学産業,4094.T,JP
日本パーカライジング,4095.T,JP
高圧ガス工業,4097.T,JP
チタン工業,4098.T,JP
四国化成ホールディングス,4099.T,JP
戸田工業,4100.T,JP
丸尾カルシウム,4102.T,JP
伊勢化学工業,4107.T,JP
ステラ　ケミファ,4109.T,JP
保土谷化学工業,4112.T,JP
田岡化学工業,4113.T,JP
日本触媒,4114.T,JP
大日精化工業,4116.T,JP
カネカ,4118.T,JP
日本ピグメントホールディングス,4119.T,JP
スガイ化学工業,4120.T,JP
大阪油化工業,4124.T,JP
三和油化工業,4125.T,JP
協和キリン,4151.T,JP
プレイド,4165.T,JP
かっこ,4166.T,JP
ココペリ,4167.T,JP
ヤプリ,4168.T,JP
ＥＮＥＣＨＡＮＧＥ,4169.T,JP
Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,4170.T,JP
グローバルインフォメーション,4171.T,JP
東和ハイシステム,4172.T,JP
ＷＡＣＵＬ,4173.T,JP
アピリッツ,4174.T,JP
ｃｏｌｙ,4175.T,JP
ココナラ,4176.T,JP
ｉ‐ｐｌｕｇ,4177.T,JP
Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,4178.T,JP
ジーネクスト,4179.T,JP
Ａｐｐｉｅｒ　Ｇｒｏｕｐ,4180.T,JP
三菱瓦斯化学,4182.T,JP
三井化学,4183.T,JP
東京応化工業,4186.T,JP
大阪有機化学工業,4187.T,JP
三菱ケミカルグループ,4188.T,JP
ＫＨネオケム,4189.T,JP
スパイダープラス,4192.T,JP
ファブリカホールディングス,4193.T,JP
ビジョナル,4194.T,JP
ネオマーケティング,4196.T,JP
アスマーク,4197.T,JP
テンダ,4198.T,JP
ワンダープラネット,4199.T,JP
ダイセル,4202.T,JP
住友ベークライト,4203.T,JP
積水化学工業,4204.T,JP
日本ゼオン,4205.T,JP
アイカ工業,4206.T,JP
ＵＢＥ,4208.T,JP
積水樹脂,4212.T,JP
旭有機材,4216.T,JP
ニチバン,4218.T,JP
リケンテクノス,4220.T,JP
大倉工業,4221.T,JP
児玉化学工業,4222.T,JP
ロンシール工業,4224.T,JP
積水化成品工業,4228.T,JP
群栄化学工業,4229.T,JP
タイガースポリマー,4231.T,JP
サンエー化研,4234.T,JP
ウルトラファブリックス・ホールディングス,4235.T,JP
フジプレアム,4237.T,JP
ミライアル,4238.T,JP
クラスターテクノロジー,4240.T,JP
アテクト,4241.T,JP
タカギセイコー,4242.T,JP
ニックス,4243.T,JP
ダイキアクシス,4245.T,JP
ダイキョーニシカワ,4246.T,JP
ポバール興業,4247.T,JP
竹本容器,4248.T,JP
森六ホールディングス,4249.T,JP
恵和,4251.T,JP
ＴＨＥＣＯＯ,4255.T,JP
サインド,4256.T,JP
エヴィクサー,4257.T,JP
網屋,4258.T,JP
エクサウィザーズ,4259.T,JP
ハイブリッドテクノロジーズ,4260.T,JP
アジアクエスト,4261.T,JP
ニフティライフスタイル,4262.T,JP
サスメド,4263.T,JP
セキュア,4264.T,JP
Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,4265.T,JP
ライトワークス,4267.T,JP
ＢｅｅＸ,4270.T,JP
日本化薬,4272.T,JP
細谷火工,4274.T,JP
カーリット,4275.T,JP
ソルクシーズ,4284.T,JP
ＣＬホールディングス,4286.T,JP
ジャストプランニング,4287.T,JP
アズジェント,4288.T,JP
プレステージ・インターナショナル,4290.T,JP
セプテーニ・ホールディングス,4293.T,JP
プロトコーポレーション,4298.T,JP
ハイマックス,4299.T,JP
アミューズ,4301.T,JP
Ｅストアー,4304.T,JP
野村総合研究所,4307.T,JP
Ｊストリーム,4308.T,JP
ドリームインキュベータ,4310.T,JP
ビーマップ,4316.T,JP
レイ,4317.T,JP
クイック,4318.T,JP
ＴＡＣ,4319.T,JP
ＣＥホールディングス,4320.T,JP
日本システム技術,4323.T,JP
電通グループ,4324.T,JP
インテージホールディングス,4326.T,JP
テイクアンドギヴ・ニーズ,4331.T,JP
東邦システムサイエンス,4333.T,JP
ユークス,4334.T,JP
アイ・ピー・エス,4335.T,JP
ぴあ,4337.T,JP
西菱電機,4341.T,JP
イオンファンタジー,4343.T,JP
ソースネクスト,4344.T,JP
シーティーエス,4345.T,JP
ＮＥＸＹＺ．Ｇｒｏｕｐ,4346.T,JP
ブロードメディア,4347.T,JP
メディカルシステムネットワーク,4350.T,JP
山田再生系債権回収総合事務所,4351.T,JP
応用技術,4356.T,JP
マナック・ケミカル・パートナーズ,4360.T,JP
川口化学工業,4361.T,JP
日本精化,4362.T,JP
松本油脂製薬,4365.T,JP
ダイトーケミックス,4366.T,JP
広栄化学,4367.T,JP
扶桑化学工業,4368.T,JP
トリケミカル研究所,4369.T,JP
モビルス,4370.T,JP
コアコンセプト・テクノロジー,4371.T,JP
ユミルリンク,4372.T,JP
シンプレクス・ホールディングス,4373.T,JP
ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,4374.T,JP
セーフィー,4375.T,JP
くふうカンパニーホールディングス,4376.T,JP
ワンキャリア,4377.T,JP
ＣＩＮＣ,4378.T,JP
Ｐｈｏｔｏｓｙｎｔｈ,4379.T,JP
Ｍマート,4380.T,JP
ビープラッツ,4381.T,JP
ＨＥＲＯＺ,4382.T,JP
ラクスル,4384.T,JP
メルカリ,4385.T,JP
ＳＩＧグループ,4386.T,JP
ＺＵＵ,4387.T,JP
エーアイ,4388.T,JP
プロパティデータバンク,4389.T,JP
ＩＰＳ,4390.T,JP
ロジザード,4391.T,JP
ＦＩＧ,4392.T,JP
バンク・オブ・イノベーション,4393.T,JP
エクスモーション,4394.T,JP
アクリート,4395.T,JP
システムサポートホールディングス,4396.T,JP
チームスピリット,4397.T,JP
ブロードバンドセキュリティ,4398.T,JP
ＡＤＥＫＡ,4401.T,JP
日油,4403.T,JP
ミヨシ油脂,4404.T,JP
新日本理化,4406.T,JP
東邦化学工業,4409.T,JP
ハリマ化成グループ,4410.T,JP
サイエンスアーツ,4412.T,JP
ボードルア,4413.T,JP
フレクト,4414.T,JP
ブロードエンタープライズ,4415.T,JP
Ｔｒｕｅ　Ｄａｔａ,4416.T,JP
グローバルセキュリティエキスパート,4417.T,JP
ＪＤＳＣ,4418.T,JP
Ｆｉｎａｔｅｘｔホールディングス,4419.T,JP
イーソル,4420.T,JP
ディ・アイ・システム,4421.T,JP
ＶＡＬＵＥＮＥＸ,4422.T,JP
Ａｍａｚｉａ,4424.T,JP
Ｋｕｄａｎ,4425.T,JP
パスロジ,4426.T,JP
ＥｄｕＬａｂ,4427.T,JP
シノプス,4428.T,JP
リックソフト,4429.T,JP
東海ソフト,4430.T,JP
スマレジ,4431.T,JP
ウイングアーク１ｓｔ,4432.T,JP
ヒト・コミュニケーションズ・ホールディングス,4433.T,JP
サーバーワークス,4434.T,JP
カオナビ,4435.T,JP
ミンカブ・ジ・インフォノイド,4436.T,JP
ｇｏｏｄｄａｙｓホールディングス,4437.T,JP
Ｗｅｌｂｙ,4438.T,JP
東名,4439.T,JP
ヴィッツ,4440.T,JP
トビラシステムズ,4441.T,JP
バルテス・ホールディングス,4442.T,JP
Ｓａｎｓａｎ,4443.T,JP
インフォネット,4444.T,JP
リビン・テクノロジーズ,4445.T,JP
Ｌｉｎｋ－Ｕグループ,4446.T,JP
ピー・ビーシステムズ,4447.T,JP
ｋｕｂｅｌｌ,4448.T,JP
ギフティ,4449.T,JP
パワーソリューションズ,4450.T,JP
花王,4452.T,JP
第一工業製薬,4461.T,JP
石原ケミカル,4462.T,JP
日華化学,4463.T,JP
ソフト９９コーポレーション,4464.T,JP
ニイタカ,4465.T,JP
三洋化成工業,4471.T,JP
ＨＥＮＮＧＥ,4475.T,JP
ＡＩ　ＣＲＯＳＳ,4476.T,JP
ＢＡＳＥ,4477.T,JP
フリー,4478.T,JP
マクアケ,4479.T,JP
メドレー,4480.T,JP
ベース,4481.T,JP
ウィルズ,4482.T,JP
ＪＭＤＣ,4483.T,JP
ランサーズ,4484.T,JP
ユナイトアンドグロウ,4486.T,JP
スペースマーケット,4487.T,JP
ＡＩ　ｉｎｓｉｄｅ,4488.T,JP
ビザスク,4490.T,JP
コンピューターマネージメント,4491.T,JP
ゼネテック,4492.T,JP
サイバーセキュリティクラウド,4493.T,JP
バリオセキュア,4494.T,JP
アイキューブドシステムズ,4495.T,JP
コマースＯｎｅホールディングス,4496.T,JP
サイバートラスト,4498.T,JP
Ｓｐｅｅｅ,4499.T,JP
武田薬品工業,4502.T,JP
アステラス製薬,4503.T,JP
住友ファーマ,4506.T,JP
塩野義製薬,4507.T,JP
わかもと製薬,4512.T,JP
日本新薬,4516.T,JP
中外製薬,4519.T,JP
科研製薬,4521.T,JP
エーザイ,4523.T,JP
森下仁丹,4524.T,JP
理研ビタミン,4526.T,JP
ロート製薬,4527.T,JP
小野薬品工業,4528.T,JP
久光製薬,4530.T,JP
有機合成薬品工業,4531.T,JP
持田製薬,4534.T,JP
参天製薬,4536.T,JP
扶桑薬品工業,4538.T,JP
日本ケミファ,4539.T,JP
ツムラ,4540.T,JP
テルモ,4543.T,JP
Ｈ．Ｕ．グループホールディングス,4544.T,JP
キッセイ薬品工業,4547.T,JP
生化学工業,4548.T,JP
栄研化学,4549.T,JP
鳥居薬品,4551.T,JP
ＪＣＲファーマ,4552.T,JP
東和薬品,4553.T,JP
富士製薬工業,4554.T,JP
カイノス,4556.T,JP
中京医薬品,4558.T,JP
ゼリア新薬工業,4559.T,JP
アンジェス,4563.T,JP
オンコセラピー・サイエンス,4564.T,JP
ネクセラファーマ,4565.T,JP
第一三共,4568.T,JP
杏林製薬,4569.T,JP
免疫生物研究所,4570.T,JP
ＮＡＮＯ　ＭＲＮＡ,4571.T,JP
カルナバイオサイエンス,4572.T,JP
大幸薬品,4574.T,JP
キャンバス,4575.T,JP
デ・ウエスタン・セラピテクス研究所,4576.T,JP
ダイト,4577.T,JP
大塚ホールディングス,4578.T,JP
ラクオリア創薬,4579.T,JP
シンバイオ製薬,4582.T,JP
カイオム・バイオサイエンス,4583.T,JP
キッズウェル・バイオ,4584.T,JP
メドレックス,4586.T,JP
ペプチドリーム,4587.T,JP
オンコリスバイオファーマ,4588.T,JP
リボミック,4591.T,JP
サンバイオ,4592.T,JP
ヘリオス,4593.T,JP
ブライトパス・バイオ,4594.T,JP
ミズホメディー,4595.T,JP
窪田製薬ホールディングス,4596.T,JP
ソレイジア・ファーマ,4597.T,JP
Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,4598.T,JP
ステムリム,4599.T,JP
大日本塗料,4611.T,JP
日本ペイントホールディングス,4612.T,JP
関西ペイント,4613.T,JP
神東塗料,4615.T,JP
川上塗料,4616.T,JP
中国塗料,4617.T,JP
日本特殊塗料,4619.T,JP
藤倉化成,4620.T,JP
アサヒペン,4623.T,JP
イサム塗料,4624.T,JP
アトミクス,4625.T,JP
太陽ホールディングス,4626.T,JP
ナトコ,4627.T,JP
エスケー化研,4628.T,JP
大伸化学,4629.T,JP
ＤＩＣ,4631.T,JP
サカタインクス,4633.T,JP
ａｒｔｉｅｎｃｅ,4634.T,JP
東京インキ,4635.T,JP
アルプス技研,4641.T,JP
オリジナル設計,4642.T,JP
イマジニア,4644.T,JP
市進ホールディングス,4645.T,JP
ＳＤエンターテイメント,4650.T,JP
サニックス,4651.T,JP
環境管理センター,4657.T,JP
日本空調サービス,4658.T,JP
エイジス,4659.T,JP
オリエンタルランド,4661.T,JP
フォーカスシステムズ,4662.T,JP
アール・エス・シー,4664.T,JP
ダスキン,4665.T,JP
パーク２４,4666.T,JP
アイサンテクノロジー,4667.T,JP
明光ネットワークジャパン,4668.T,JP
ファルコホールディングス,4671.T,JP
川崎地質,4673.T,JP
クレスコ,4674.T,JP
フジ・メディア・ホールディングス,4676.T,JP
秀英予備校,4678.T,JP
田谷,4679.T,JP
ラウンドワン,4680.T,JP
リゾートトラスト,4681.T,JP
オービック,4684.T,JP
菱友システムズ,4685.T,JP
ジャストシステム,4686.T,JP
ＴＤＣソフト,4687.T,JP
ＬＩＮＥヤフー,4689.T,JP
日本パレットプール,4690.T,JP
ワシントンホテル,4691.T,JP
ビー・エム・エル,4694.T,JP
トレンドマイクロ,4704.T,JP
クリップコーポレーション,4705.T,JP
キタック,4707.T,JP
ＩＤホールディングス,4709.T,JP
ＫｅｙＨｏｌｄｅｒ,4712.T,JP
リソー教育,4714.T,JP
日本オラクル,4716.T,JP
早稲田アカデミー,4718.T,JP
アルファシステムズ,4719.T,JP
城南進学研究社,4720.T,JP
フューチャー,4722.T,JP
ＣＡＣ　Ｈｏｌｄｉｎｇｓ,4725.T,JP
トーセ,4728.T,JP
ユー・エス・エス,4732.T,JP
オービックビジネスコンサルタント,4733.T,JP
京進,4735.T,JP
日本ラッド,4736.T,JP
アイティフォー,4743.T,JP
東京個別指導学院,4745.T,JP
東計電算,4746.T,JP
ダイサン,4750.T,JP
サイバーエージェント,4751.T,JP
昭和システムエンジニアリング,4752.T,JP
トスネット,4754.T,JP
楽天グループ,4755.T,JP
アルファ,4760.T,JP
さくらケーシーエス,4761.T,JP
エックスネット,4762.T,JP
クリーク・アンド・リバー社,4763.T,JP
ＳＢＩグローバルアセットマネジメント,4765.T,JP
ピーエイ,4766.T,JP
テー・オー・ダブリュー,4767.T,JP
大塚商会,4768.T,JP
ＩＣ,4769.T,JP
エフアンドエム,4771.T,JP
ストリームメディアコーポレーション,4772.T,JP
サイボウズ,4776.T,JP
ガーラ,4777.T,JP
ＮＣＤ,4783.T,JP
ＧＭＯインターネット,4784.T,JP
山田コンサルティンググループ,4792.T,JP
オリコン,4800.T,JP
セントラルスポーツ,4801.T,JP
パラカ,4809.T,JP
ドリーム・アーツ,4811.T,JP
電通総研,4812.T,JP
ＡＣＣＥＳＳ,4813.T,JP
ネクストウェア,4814.T,JP
東映アニメーション,4816.T,JP
